id,code_correspondence,name,altName,code,geo_level,remarks
2,0100000000,Region I (Ilocos Region),I,010000000,Reg,
5,0200000000,Region II (Cagayan Valley),II,020000000,Reg,
8,0300000000,Region III (Central Luzon),II,030000000,Reg,
11,0400000000,Region IV-A (CALABARZON),IV-A,040000000,Reg,
14,1700000000,MIMAROPA Region,IV-B,170000000,Reg,
17,0500000000,Region V (Bicol Region),V,050000000,Reg,
20,0600000000,Region VI (Western Visayas),VI,060000000,Reg,
23,0700000000,Region VII (Central Visayas),VII,070000000,Reg,
26,0800000000,Region VIII (Eastern Visayas),VIII,080000000,Reg,
29,0900000000,Region IX (Zamboanga Peninsula),IX,090000000,Reg,
32,1000000000,Region X (Northern Mindanao),X,100000000,Reg,
35,1100000000,Region XI (Davao Region),XI,110000000,Reg,
38,1200000000,Region XII (SOCCSKSARGEN),XII,120000000,Reg,
41,1300000000,National Capital Region (NCR),NCR,130000000,Reg,
44,1400000000,Cordillera Administrative Region (CAR),CAR,140000000,Reg,
47,1600000000,Region XIII (Caraga),CARAGA,160000000,Reg,
50,1900000000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),BARMM,150000000,Reg,
